Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
656;Braunlage;JA_RR;01.01.1931;31.12.2022;8;Gesamt_Messzeitraum;eor;                                                                                                                                    
656;Braunlage;JA_FK;01.01.1931;31.12.2018;17;Gesamt_Messzeitraum;eor;                                                                                                                                   
656;Braunlage;JA_TT;01.01.1931;31.12.2022;10;Gesamt_Messzeitraum;eor;                                                                                                                                   
656;Braunlage;JA_TX;01.01.1931;31.12.2022;14;Gesamt_Messzeitraum;eor;                                                                                                                                   
656;Braunlage;JA_TN;01.01.1931;31.12.2022;14;Gesamt_Messzeitraum;eor;                                                                                                                                   
656;Braunlage;JA_N;01.01.1931;31.12.2020;22;Gesamt_Messzeitraum;eor;                                                                                                                                    
656;Braunlage;JA_MX_TX;01.01.1931;31.12.2022;13;Gesamt_Messzeitraum;eor;                                                                                                                                
656;Braunlage;JA_MX_TN;01.01.1931;31.12.2022;13;Gesamt_Messzeitraum;eor;                                                                                                                                
656;Braunlage;JA_MX_FX;01.01.1931;31.12.2022;16;Gesamt_Messzeitraum;eor;                                                                                                                                
656;Braunlage;JA_MX_RS;01.01.1931;31.12.2022;8;Gesamt_Messzeitraum;eor;                                                                                                                                 
656;Braunlage;JA_SD_S;01.01.1931;31.12.2019;12;Gesamt_Messzeitraum;eor;                                                                                                                                 
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
656;Braunlage;JA_RR;01.01.1945;31.12.1946;2;Kriegsjahre;eor;                                                                                                                                            
656;Braunlage;JA_RR;01.01.1999;31.12.2003;5;;eor;                                                                                                                                                       
656;Braunlage;JA_RR;01.01.2005;31.12.2005;1;;eor;                                                                                                                                                       
656;Braunlage;JA_FK;01.01.1940;31.12.1941;2;Kriegsjahre;eor;                                                                                                                                            
656;Braunlage;JA_FK;01.01.1944;31.12.1946;3;Kriegsjahre;eor;                                                                                                                                            
