Stations_ID;Von_Datum;Bis_Datum;Stationsname;Parameter;Parameterbeschreibung;Einheit;Datenquelle (Strukturversion=SV);Zusatz-Info;Besonderheiten;Literaturhinweis;eor;
656;19320101;19351231;Braunlage;JA_FK;Jahresmittel der Windstaerke;Bft;KLIDADIGI: Klimadaten nacherfasst (3 Termine:  07, 14, 21 MOZ und Tageswerte);arithm.Mittel aus Monatsmittelwerten;;;eor;
656;19360101;19421231;Braunlage;JA_FK;Jahresmittel der Windstaerke;Bft;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK);arithm.Mittel aus Monatsmittelwerten;;;eor;
656;19430101;19431231;Braunlage;JA_FK;Jahresmittel der Windstaerke;Bft;KLIDADIGI: Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ) und Tageswerte, Schneehöhe und tägliche Niederschlagshöhe um 14 MOZ nacherfasst;arithm.Mittel aus Monatsmittelwerten;;;eor;
656;19470101;19981231;Braunlage;JA_FK;Jahresmittel der Windstaerke;Bft;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK);arithm.Mittel aus Monatsmittelwerten;;;eor;
656;20080101;20181231;Braunlage;JA_FK;Jahresmittel der Windstaerke;Bft;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);arithm.Mittel aus Monatsmittelwerten;;;eor;
656;19710101;20010331;Braunlage;JA_MX_FX;Absolutes Maximum der Windmaxspitze;m/s;Klimadaten aus Klimaroutine des DWD (3 Termine: um  07, 14, 21 MOZ, ab 01.01.1987 07:30,14:30,21:30 MEZ) und Tageswerte jeweils nach Beobachteranleitung für Klimastationen (BAK);Extrema des Jahres;;;eor;
656;20010402;20221231;Braunlage;JA_MX_FX;Absolutes Maximum der Windmaxspitze;m/s;Klimadaten aus der Klimaroutine nach 1.4.2001, generiert aus SYNOP-Meldungen (3 Termine 06, 12, 18 UTC und Tageswerte aus stündlichen Werten oder Beobachtungen an Hauptterminen);Extrema des Jahres;;;eor;
656;19310101;19351231;Braunlage;JA_MX_RS;Maximale Niederschlagshoehe des Jahres;mm;KLIDADIGI: Niederschlagsdaten nacherfasst (1 Termin: ca 07 MOZ und Tagessummen);Extrema des Jahres;;;eor;
656;19360101;19420131;Braunlage;JA_MX_RS;Maximale Niederschlagshoehe des Jahres;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Extrema des Jahres;;;eor;
656;19420201;19420429;Braunlage;JA_MX_RS;Maximale Niederschlagshoehe des Jahres;mm;KLIDADIGI: Klimadaten nacherfasst (1 Termin: Zeitintervall 14 MOZ Vortag - 14 MOZ Folgetag, Schneehöhe um 14 MOZ);Extrema des Jahres;;;eor;
656;19420430;19421228;Braunlage;JA_MX_RS;Maximale Niederschlagshoehe des Jahres;mm;Niederschlagsdaten aus Niederschlagsroutine des DWD oder Vorgängerdienste bis Einrichtung Nst(A) oder Nst(k) (1 Termin ca 7 MOZ und Tagessummen);Extrema des Jahres;;;eor;
