STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
        656;19310101;19311231;    1;  5.40;   5.47;    8.56;    2.50;-999;-999;-999;  28.9; -14.4;    1;  1155.9;   36.5;eor
        656;19320101;19321231;    1;  5.48;   6.27;    9.92;    2.20;    1.81;-999;-999;  30.6; -16.8;    1;  1128.6;   64.7;eor
        656;19330101;19331231;    1;  5.39;   5.34;    9.26;    1.46;    2.17;-999;-999;  28.2; -17.8;    1;   921.4;   41.1;eor
        656;19340101;19341231;    1;  5.52;   7.47;   11.18;    3.66;    2.31;-999;-999;  26.5; -14.7;    1;   887.6;   63.9;eor
        656;19350101;19351231;    1;  5.80;   5.81;    9.28;    2.10;    2.65;-999;-999;  28.3; -14.6;    1;  1354.4;   65.0;eor
        656;19360101;19361231;    5;  6.09;   6.08;    9.46;    2.80;    2.26; 1469.70;-999;  26.9; -15.3;    5;  1162.1;   47.8;eor
        656;19370101;19371231;    5;  6.04;   6.18;    9.49;    3.02;    2.11; 1504.50;-999;  29.4; -14.3;    5;  1204.4;   63.6;eor
        656;19380101;19381231;    5;  5.80;   6.28;    9.70;    3.14;    2.44; 1636.10;-999;  25.9; -20.2;    5;  1226.7;   47.5;eor
        656;19390101;19391231;    5;  6.08;   5.87;    9.15;    2.75;    2.21; 1515.10;-999;  26.7; -14.2;    5;  1406.4;   57.3;eor
        656;19400101;19401231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;  1391.6;   62.4;eor
        656;19410101;19411231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    5;  1448.7;   82.4;eor
        656;19420101;19421231;    5;  5.93;   4.94;    8.80;    1.26;    2.09; 1615.90;-999;  28.5; -23.1;    5;  1129.0;   63.9;eor
        656;19430101;19431231;    5;  5.64;   6.71;    -999;    -999;    2.29; 1580.80;-999;-999;-999;    5;  1115.0;   68.4;eor
        656;19470101;19471231;    5;  5.38;   5.93;    9.94;    2.45;    2.92; 1971.20;-999;  30.3; -22.8;    5;  1393.1;   93.6;eor
        656;19480101;19481231;    5;  5.63;   6.93;   10.61;    3.77;    2.30; 1760.80;-999;  28.6; -17.0;    5;  1262.9;  108.1;eor
        656;19490101;19491231;    5;  5.27;   6.97;   11.02;    3.72;    2.46; 1914.10;-999;  29.0; -12.8;    5;  1144.5;   51.4;eor
        656;19500101;19501231;    5;  5.90;   6.12;    9.76;    3.14;    2.31; 1595.10;-999;  27.4; -17.7;    5;  1401.7;   53.4;eor
        656;19510101;19511231;    5;  5.84;   6.40;   10.05;    3.36;    2.29; 1561.10;-999;  27.6; -10.5;    5;  1205.1;   48.9;eor
        656;19520101;19521231;    5;  6.08;   5.24;    8.63;    2.26;    2.17; 1443.00;-999;  31.6; -11.5;    5;  1348.6;   32.6;eor
        656;19530101;19531231;    5;  5.36;   7.11;   11.17;    3.92;    2.12; 1871.20;-999;  28.1; -18.7;    5;   870.1;   35.6;eor
        656;19540101;19541231;    5;  5.72;   5.32;    8.91;    2.32;    2.37; 1530.10;-999;  29.0; -20.9;    5;  1506.0;   52.8;eor
        656;19550101;19551231;    5;  5.55;   5.25;    9.01;    2.09;    2.17; 1610.60;-999;  27.8; -14.2;    5;  1370.7;   56.0;eor
        656;19560101;19561231;    5;  5.76;   4.43;    8.19;    1.32;    2.29; 1507.40;-999;  26.1; -25.6;    5;  1574.5;   91.6;eor
        656;19570101;19571231;    5;  5.64;   6.33;   10.02;    3.17;    2.16; 1576.20;-999;  32.0; -12.7;    5;  1373.1;   57.3;eor
        656;19580101;19581231;    5;  6.01;   5.71;    9.17;    2.74;    2.06; 1386.20;-999;  25.8; -13.2;    5;  1424.4;   47.4;eor
        656;19590101;19591231;    5;  4.50;   7.27;   11.84;    3.35;    2.14; 2033.00;-999;  31.2; -11.6;    5;   661.8;   41.2;eor
        656;19600101;19601231;    5;  6.09;   6.00;    9.57;    3.01;    2.23; 1388.90;-999;  26.0; -15.3;    5;  1302.6;   72.1;eor
        656;19610101;19611231;    5;  5.69;   6.63;   10.30;    3.39;    2.24; 1446.00;-999;  27.7; -17.6;    5;  1574.9;   51.6;eor
        656;19620101;19621231;    5;  5.75;   4.54;    7.98;    1.50;    2.36; 1370.10;-999;  25.0; -17.9;    5;  1308.0;   59.9;eor
        656;19630101;19631231;    5;  5.35;   5.03;    8.90;    1.58;    2.08; 1680.20;-999;  29.4; -20.5;    5;   983.8;   36.8;eor
        656;19640101;19641231;    5;  5.24;   5.89;    9.57;    2.36;    2.18; 1638.70;-999;  29.4; -15.5;    5;   936.1;   33.3;eor
        656;19650101;19651231;    5;  5.69;   5.08;    8.49;    1.88;    2.32; 1387.40;-999;  23.7; -15.0;    5;  1525.8;   41.1;eor
        656;19660101;19661231;    5;  5.74;   6.15;    9.43;    3.07;    2.18; 1340.90;-999;  28.6; -17.6;    5;  1491.1;   68.3;eor
        656;19670101;19671231;    5;  5.59;   6.57;    9.96;    3.38;    2.40; 1446.40;-999;  26.6; -13.3;    5;  1507.1;   48.9;eor
        656;19680101;19681231;    5;  5.72;   5.89;    9.21;    2.72;    2.22; 1508.90;-999;  25.9; -17.5;    5;   995.3;   45.9;eor
        656;19690101;19691231;    5;  5.46;   5.53;    9.00;    2.30;    2.14; 1547.50;-999;  28.8; -17.7;    5;  1139.1;   53.4;eor
        656;19700101;19701231;    5;  5.67;   5.35;    8.59;    2.24;    2.26; 1409.20;-999;  27.0; -16.8;    5;  1674.5;   42.1;eor
        656;19710101;19711231;    5;  5.26;   6.41;   10.10;    3.02;    2.31; 1644.90;  28.1;  30.2; -17.3;    5;   816.4;   25.9;eor
        656;19720101;19721231;    5;  5.22;   5.74;    9.27;    2.58;    2.27; 1439.30;  34.0;  27.5; -17.2;    5;   922.9;   39.4;eor
        656;19730101;19731231;    5;  5.27;   6.02;    9.52;    2.85;    2.43; 1584.90;  28.0;  27.5; -14.0;    5;  1114.3;   44.6;eor
        656;19740101;19741231;    5;  5.81;   6.31;    9.63;    3.43;    2.44; 1259.30;  28.0;  29.5;  -7.0;    5;  1489.9;   55.4;eor
        656;19750101;19751231;    5;  5.23;   6.89;   10.55;    3.62;    2.31; 1661.20;  23.4;  28.2; -10.3;    5;   901.2;   29.5;eor
        656;19760101;19761231;    5;  5.25;   6.18;    9.74;    2.73;    2.24; 1690.30;  31.5;  30.0; -16.8;    5;   939.6;   38.2;eor
        656;19770101;19771231;    5;  5.93;   6.26;    9.56;    3.29;    2.27; 1249.50;  23.9;  25.4; -13.5;    5;  1298.8;   43.1;eor
        656;19780101;19781231;    5;  5.87;   5.34;    8.72;    2.47;    2.21; 1303.90;  24.4;  26.4; -22.8;    5;  1327.5;   67.9;eor
        656;19790101;19791231;    5;  5.95;   5.17;    8.60;    2.15;    2.17; 1317.80;  25.2;  27.2; -22.8;    5;  1072.2;   34.7;eor
        656;19800101;19801231;    5;  5.68;   5.14;    8.48;    2.16;    2.30; 1390.90;  22.1;  27.0; -15.8;    5;  1500.3;  104.9;eor
        656;19810101;19811231;   10;  5.95;   5.75;    9.07;    2.52;    2.24; 1260.80;  27.3;  27.7; -16.3;   10;  1844.5;   77.2;eor
        656;19820101;19821231;   10;  5.06;   6.98;   10.95;    3.40;    2.15; 1801.60;  24.6;  28.7; -18.6;   10;  1034.3;   44.4;eor
        656;19830101;19831231;   10;  5.64;   6.86;   10.48;    3.32;    2.31; 1565.30;  27.0;  28.7; -12.8;   10;  1300.0;   75.3;eor
        656;19840101;19841231;   10;  5.89;   5.51;    8.88;    2.53;    2.17; 1308.70;  26.8;  29.6; -13.7;   10;  1302.7;   51.0;eor
        656;19850101;19851231;   10;  5.74;   5.06;    8.63;    1.87;    2.24; 1479.70;  24.0;  28.0; -18.3;   10;  1137.1;   51.9;eor
        656;19860101;19861231;   10;  5.76;   5.40;    8.88;    2.01;    2.17; 1410.30;  31.9;  28.4; -23.1;   10;  1547.8;   68.0;eor
        656;19870101;19871231;   10;  5.91;   4.88;    8.37;    1.58;    2.02; 1302.60;  23.7;  28.4; -23.9;   10;  1336.6;   33.8;eor
        656;19880101;19881231;   10;  6.03;   6.47;    9.81;    3.26;    2.28; 1378.50;  27.3;  26.0; -13.2;   10;  1490.6;   48.2;eor
        656;19890101;19891231;   10;  5.29;   7.50;   11.57;    3.93;    2.07; 1831.60;  24.7;  30.6;  -8.4;   10;  1042.6;   62.8;eor
        656;19900101;19901231;   10;  5.81;   7.04;   10.63;    3.82;    2.24; 1570.20;  34.0;  30.2;  -8.3;   10;  1361.9;   68.7;eor
        656;19910101;19911231;   10;  5.30;   5.97;    9.79;    2.57;    2.21; 1718.40;  29.3;  29.2; -19.0;    9;  1062.0;   70.5;eor
        656;19920101;19921231;   10;  5.33;   6.91;   10.68;    3.46;    2.49; 1511.10;  36.0;  32.8; -13.0;    9;  1357.3;   49.8;eor
        656;19930101;19931231;   10;  5.71;   5.94;    9.90;    2.54;    2.51; 1446.80;  31.9;  25.6; -14.4;    9;  1585.2;   61.7;eor
        656;19940101;19941231;   10;  5.74;   6.90;   10.73;    3.50;    2.46; 1471.00;  30.4;  32.2; -16.7;    9;  1715.8;   77.0;eor
        656;19950101;19951231;   10;  5.84;   6.28;    9.99;    2.83;    2.38; 1477.70;  24.2;  29.1; -16.9;    9;  1375.1;   47.1;eor
        656;19960101;19961231;   10;  5.78;   4.55;    8.25;    1.25;    2.24; 1348.20;  23.7;  27.9; -17.9;    9;   929.6;   37.8;eor
        656;19970101;19971231;   10;  5.56;   6.39;   10.31;    2.87;    2.27; 1602.20;  27.3;  28.1; -18.3;    9;  1290.8;   41.5;eor
        656;19980101;19981231;   10;  6.00;   6.37;    9.86;    3.28;    2.47; 1219.70;  23.1;  31.4; -15.7;    9;  1770.8;   77.6;eor
        656;19990101;19991231;    1;  -999;   -999;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        656;20030101;20031231;    3;  -999;   7.05;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        656;20040101;20041231;    3;  -999;   6.42;    -999;    -999;-999; 1384.60;  24.2;-999;-999;    9;  1524.8;   42.2;eor
        656;20050101;20051231;    3;  -999;   -999;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
        656;20060101;20061231;    3;  -999;   7.40;    -999;    -999;-999;-999;-999;-999;-999;    9;  1307.2;   40.3;eor
        656;20070101;20071231;    3;  -999;   7.43;   11.09;    3.93;-999; 1457.40;  34.1;  30.3; -12.3;    9;  2018.2;   79.0;eor
        656;20080101;20081231;    3;  -999;   6.98;   10.50;    3.64;    2.38; 1464.90;  22.3;  28.2; -11.0;    9;  1356.6;   64.6;eor
        656;20090101;20091231;    9;  5.36;   6.79;   10.46;    3.28;    2.26; 1436.70;  21.4;  29.5; -18.7;    9;  1170.2;   34.6;eor
        656;20100101;20101231;    9;  5.89;   5.34;    8.91;    1.75;    2.22; 1301.50;-999;  31.5; -14.5;    9;  1053.8;   43.0;eor
        656;20110101;20111231;    9;  -999;   7.49;   11.72;    3.65;-999; 1647.40;-999;  27.9; -14.6;    9;  1054.2;   36.7;eor
        656;20120101;20121231;    9;  5.81;   6.62;   10.31;    3.09;    2.22; 1378.60;  21.8;  30.7; -21.5;    9;  1141.6;   37.5;eor
        656;20130101;20131231;    9;  5.92;   6.11;    9.59;    2.59;-999; 1228.60;-999;  30.8; -14.0;    9;  1127.0;   50.2;eor
        656;20140101;20141231;    9;  -999;   8.04;   11.71;    4.59;-999; 1333.90;-999;  29.2; -12.1;    9;  1142.4;   44.2;eor
        656;20150101;20151231;    9;  -999;   7.43;   11.26;    3.74;    2.21; 1478.70;  25.8;  32.5;  -9.4;    9;  1312.8;   63.8;eor
        656;20160101;20161231;    9;  -999;   7.28;   11.01;    3.79;    2.08; 1373.90;  20.2;  30.6; -12.8;    9;  1044.6;   38.1;eor
        656;20170101;20171231;    9;  -999;   7.15;   10.74;    3.79;    2.14; 1184.70;-999;  29.3; -15.6;    9;  1591.5;   79.9;eor
        656;20180101;20181231;    9;  -999;   8.15;   12.24;    4.22;    2.30; 1762.40;  27.1;  32.8; -16.0;    9;   913.2;   49.4;eor
        656;20190101;20191231;    9;  -999;   8.06;   11.97;    4.26;-999; 1622.50;-999;  33.9; -13.2;    9;  1227.8;   47.2;eor
        656;20200101;20201231;    9;  5.80;   8.17;   11.98;    4.37;-999;-999;-999;  30.8;  -7.4;    9;  1209.4;   52.7;eor
        656;20210101;20211231;    3;  -999;   6.90;   10.50;    3.46;-999;-999;-999;  29.6; -17.8;    9;   932.3;   23.6;eor
        656;20220101;20221231;    3;  -999;   8.40;   12.38;    4.54;-999;-999;-999;  34.2; -10.9;    1;  1099.3;   50.1;eor
